seq,t_send_ns,t_recv_ns,rtt_us
734,3996916619966,3996916669555,49.589
735,3996916670442,3996916719900,49.458
736,3996916720744,3996916770901,50.157
737,3996916771747,3996916825974,54.227
738,3996916828480,3996916887442,58.962
739,3996916889850,3996916949082,59.232
740,3996916951441,3996917010371,58.93
741,3996917012780,3996917072735,59.955
742,3996917075143,3996917134701,59.558
743,3996917137066,3996917196204,59.138
744,3996917198582,3996917245780,47.198
745,3996917248185,3996917296247,48.062
746,3996917302365,3996917345157,42.792
747,3996917346041,3996917385751,39.71
748,3996917386602,3996917424962,38.36
749,3996917425830,3996917466095,40.265
750,3996917466962,3996917506801,39.839
751,3996917507656,3996917546688,39.032
752,3996917547566,3996917601492,53.926
753,3996917602344,3996917641281,38.937
754,3996917642138,3996917680664,38.526
755,3996917681528,3996917720189,38.661
756,3996917721067,3996917760902,39.835
757,3996917761770,3996917801203,39.433
758,3996917802077,3996917840904,38.827
759,3996917841767,3996917897910,56.143
760,3996917898768,3996917948922,50.154
761,3996917949911,3996918000142,50.231
762,3996918001012,3996918051493,50.481
763,3996918052352,3996918103029,50.677
764,3996918103898,3996918155243,51.345
765,3996918156119,3996918206643,50.524
766,3996918207519,3996918257372,49.853
767,3996918258272,3996918308547,50.275
768,3996918309422,3996918359069,49.647
769,3996918359935,3996918410351,50.416
770,3996918411225,3996918460617,49.392
771,3996918461483,3996918511657,50.174
